Nome Empresa,Website,Address,Rating,Reviews,Phone,Types,Source,Search_Query
Medicalmed,http://www.medicalmed.com.br/,"Av. Pará, 1125 - Navegantes, Porto Alegre - RS, 90240-590, Brazil",4.3,6.0,+55 51 3026-5636,"wholesaler, health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
Isaclin Moinhos de Vento - Produtos Hospitalares,http://www.isaclin.com.br/,"R. Dr. Florêncio Ygartua, 200 - Loja A - Moinhos de Vento, Porto Alegre - RS, 90430-010, Brazil",4.7,66.0,+55 51 98039-3132,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
MEDPOA COMERCIO DE MATERIAL HOSPITALAR LTDA,http://medpoa.com.br/,"R. José Pedro Boéssio, 130 - Humaitá, Porto Alegre - RS, 90250-050, Brazil",4.8,6.0,+55 51 3907-1001,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
Sanit CPAP e Produtos para Saúde,https://www.sanitservicos.com.br/,"R. Santa Rita, 184 - Floresta, Porto Alegre - RS, 90220-220, Brazil",5.0,128.0,+55 51 3398-8646,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
"Quallys CPAP, Fisioterapia e Produtos Médicos Hospitalares",http://www.espacoquallys.com.br/,"Av. Cristóvão Colombo, 1630 - Floresta, Porto Alegre - RS, 90560-001, Brazil",4.7,306.0,+55 51 3095-0395,"shoe_store, health, sporting_goods_store, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
MKS Medical Technologies - Materiais Médicos,https://www.mksmed.com.br/,"Av. Carlos Gomes, 466 - sala 1001 - Auxiliadora, Porto Alegre - RS, 90480-003, Brazil",5.0,11.0,+55 51 3779-2074,"health, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
Pé de Apoio - Dr. Flores 01,http://www.pedeapoio.com.br/,"R. Dr. Flores, 348 - Centro Histórico, Porto Alegre - RS, 90020-121, Brazil",4.7,183.0,+55 51 3019-2222,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
Isaclin Hospital de Clínicas - Produtos Hospitalares,http://isaclin.com.br/,"R. Ramiro Barcelos, 2093 - Santana, Porto Alegre - RS, 90035-007, Brazil",4.8,57.0,+55 51 99984-0872,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
Isaclin Floresta - Produtos Hospitalares,https://www.isaclin.com.br/,"R. Ramiro Barcelos, 601 - Independência, Porto Alegre - RS, 90035-005, Brazil",5.0,105.0,+55 51 99760-3993,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
"HS Med - Aparelhos de Estética e Fisioterapia. Loja Oficial: Ibramed, KLD, Medical San, MM Optics, Cecbra, Fismatek, Tonederm",https://www.hsmed.com.br/,"Av. Getúlio Vargas, 1020 - Menino Deus, Porto Alegre - RS, 90150-002, Brazil",5.0,30.0,+55 11 95222-2728,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
CPAPS - Porto Alegre,https://materiais.cpaps.com.br/porto-alegre,"R. Quintino Bocaiúva, 954 - Floresta, Porto Alegre - RS, 90440-050, Brazil",4.9,512.0,+55 51 98116-5986,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
Loja Helfer Distribuidora de Suprimentos Corporativos,https://www.helferlojavirtual.com.br/,"R. Souza Lôbo, 446 - Vila Jardim, Porto Alegre - RS, 91320-320, Brazil",4.5,43.0,+55 51 3024-8811,"wholesaler, health, clothing_store, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
"LíderMed Produtos e Serviços - Venda e manutenção de equipamentos médicos, odontológicos e laboratoriais.",http://www.lidermed.poa.br/,"R. Ouro Preto, 722 - Jardim Floresta, Porto Alegre - RS, 91040-610, Brazil",5.0,14.0,+55 51 2312-5555,"wholesaler, health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
Lumiar Healthcare Porto Alegre,https://portal.lumiarsaude.com.br/unidades/porto-alegre-rs/,"R. Câncio Gomes, 496 - Floresta, Porto Alegre - RS, 90220-060, Brazil",4.2,20.0,+55 51 99701-2214,"health, store, point_of_interest, establishment",Google Places API,Medical Equipment Supplier Porto Alegre
Hospfar Industria e Comércio de Produtos Hospitalares SA,http://www.hospfar.com.br/,"R. 3, 975 - St. Morais, Goiânia - GO, 74620-385, Brazil",4.3,16.0,+55 62 3269-3500,"wholesaler, health, point_of_interest, establishment",Google Places API,Indústria Farmacêutica e Hospitalar
Medicalog - Gestão de Logística Hospitalar,http://medicalog.com.br/,"R. Palmorino Mônaco, 500 - Brás, São Paulo - SP, 03043-000, Brazil",5.0,11.0,+55 11 3347-2700,"point_of_interest, establishment",Google Places API,Logística Hospitalar Brasil
