Scraped_Emails,Phone,index,Decision_Maker
,,1962,Na Medlyght - médico; Equipamentos Médico - Médico; Medlyght Locação - Médico
orcamentos@ilhatec.com.br,(48) 3333-0505,2015,
,(21) 2462-5560; (21) 98280-1410,2004,
contato@voxmedbrasil.com,(31) 97260-2688; (31) 3241-2863,1939,
vendas@smdental.com.br,(21) 99195-9947,1993,
,,2018,Juliano Paluch - especialista; Cirurgião Dentista - Cirurgião
,(11) 5039-1035,2010,
,(67) 3306-2333; (61) 3443-2684,1880,
atendimento@interlace.com.br,(11) 99371-6944; (11) 3872-2944,1951,
contato@agromed.com.br,(81) 3446-1525,1935,
ciruvix@ciruvix.com.br,(27) 99316-0956,2011,
,(71) 98485-0695,2007,Diretor MÃ - Diretor; Radiologia ClÃ - Doutor; Físico Especialista - Especialista
mkt@doctorline.com.br,(27) 3182-1300; (27) 99670-2885,2037,
,,2022,Administração Hospitalar - Especialista; Informática Médica - Doutor; Clínica Cirúrgica - Doutor
engemed@engemedsc.com.br,(48) 3248-6336,2041,
contato@onepharma.com.br,(62) 3100-7047; (62) 98559-3648,1999,
,(61) 3329-8000; (12) 2138-9500,1878,
,(48) 3244-9425,1996,
compras@medhdistribuidora.com.br,(31) 3547-3577,1905,
,(81) 3628-8950,1933,
contato@remeddistribuidora.com.br,,1985,
atendimento@sautec.com.br,,2006,Equipamentos Médico Hospitalar - Médico
contato@casteloequipamentos.com.br,,1761,
ewerton@habicast.com.br; contato.site@ccprmg.com.br,(31) 3575-1020; (33) 3421-3958,1922,César Lacerda - presidente; Marcelo Candiotto - presidente
,,2046,Centro Médico Montes Alpha - Médico
,(79) 7335-7200; (41) 3014-0010,1979,
contato@hightechmed.com.br,(11) 5184-1260,2012,
,(48) 99982-2168,2030,
,(27) 3025-8451,2032,
,(31) 3515-2000,1917,Parcerias Sustentáveis - Dono; Meio Ambiente - Dono
comercial@checkupdf.com.br,,2052,
,(62) 3092-3817; (62) 98227-0334,1975,
contato@cirurgicamarcelina.com.br,(11) 94954-0287; (11) 2522-7674,1733,
,(48) 3244-9425; (48) 98411-2092,2045,
,(27) 99262-1621; (27) 3225-6880,2042,
,(41) 3382-9070; (41) 99181-4653,1983,
,(41) 3378-7854,2072,
,(48) 3034-3212,2064,Farmacêutico Proprietário - Proprietário
,(31) 2126-4000; (62) 4012-4012,1995,Vice Presidente - Presidente
vendas@ng2grupo.com.br; sac@ng2medical.com.br,(41) 3082-5114,1942,Diapasão Médico - Médico; Well Lead - Lead
,(62) 4012-1199,1986,
,(47) 3170-0917; (47) 3366-7867,2049,
,(61) 3257-7939,2081,
,(85) 6459-0024; (78) 98655-0919,2053,
comercial@locness.com.br,(61) 4042-2005,2080,
,(78) 96902-2875; (78) 99095-2447,2057,
,(41) 3222-4906,1966,
contato@laprojet.com.br,(48) 3233-6956,2089,
comercial@solutiondistribuidora.com; assistencia.tecnica@solutiondistribuidora.com,(21) 96757-4466; (21) 99900-3274,2059,
,(61) 98499-6394,2073,
contato@logistick.com.br,,2090,
,(21) 99817-6366; (21) 99815-9083,2074,
dentalbuenodigital@gmail.com,(62) 3300-0899,2123,
,(21) 2156-8999; (24) 3355-9300,2125,
,(61) 3878-2878,2070,Medicina Esportiva - especialista; Paulo Lobo - especialista; Globo Esporte - especialista
contato@gruposhore.com.br,(21) 2707-3100; (21) 3709-2621,2076,
,(61) 3256-4484,2077,
contato@calgaro.com.br,(41) 3029-8383,2068,
dpo@gruposuprimed.com.br,(12) 3903-9110; (12) 3904-2399,2054,Médico Urologista - Médico
,(47) 99967-2318,2091,
,(21) 99575-9988,2095,Material Médico - Médico
,(62) 3212-2119; (63) 2104-1419,2065,
,(21) 3030-4171; (21) 3030-4172,2094,
vendas@newsurgicalopme.com.br,,2023,
atendimento@precopopular.com.br,,2122,
,(62) 3294-4737,2120,
vendas@wbsurgical.com.br,(61) 99806-4741; (62) 99641-7074,2101,
mdlhospitalar@terra.com.br,(27) 3323-1313,2035,
,(41) 3042-0997,2034,
posvendas@barrfab.com.br,(54) 2628-8800,2102,
marketing@tiradentessaude.com.br,(62) 99817-4564; (62) 3221-8900,2104,Tiradentes Médico Hospitalar - Médico
,(11) 3042-8333,2028,
,,2113,Alere Inc - líder; Jude Medical - líder; Abbott Diabetes Care - líder
sac@tecmedica.com.br,(71) 3496-2600,1871,
,(61) 3771-3400; (21) 2122-1700,2071,Preferred Agency Partner - Partner; Quem Somos - Líder; Viagens Corporativas - Líder
contato@medlinn.com.br,(62) 99860-1590; (62) 3945-7090,2088,Ver Material Médico - Médico; Material Médico - Médico
comercial@mmclogtransportes.com.br,(21) 97241-9835; (21) 3950-0653,2083,
mrpharma@mrpharma.ind.br,,2114,
contato@r1implantes.com.br,,2100,
,(62) 99106-3575; (62) 98292-5222,1971,
,(48) 3224-7466; (48) 98810-8383,1992,Sociedade Brasileira - Especialista; Diretor Regional - Diretor; Associação Brasileira - Diretor
,(21) 3796-5232; (21) 2436-1501,2069,
,(61) 98361-0203,2051,
bmi@bmiprosper.com.br,(48) 3039-4345,2029,
sac@rmhospitalar.com,(62) 4006-3993,2110,
